"";"Var1";"Var2";"Var3";"Freq"
"4081";"Con heridos";"Otro";"La Aguacatala";177
"6265";"Con heridos";"Atropello";"San Isidro";177
"5890";"Con heridos";"Caida de Ocupante";"Pedregal";176
"7549";"Con heridos";"Choque";"Villa Hermosa";176
"2475";"Solo daños";"Choque";"Bosques de San Pablo";175
"2529";"Solo daños";"Choque";"Brasilia";174
"3937";"Con heridos";"Otro";"Héctor Abad Gómez";174
"6277";"Con heridos";"Otro";"San Isidro";174
"1840";"Con heridos";"Caida de Ocupante";"Área de Expansión Pajarito";173
"2889";"Solo daños";"Choque";"Centro Administrativo";173
"5269";"Con heridos";"Otro";"Manrique Central No. 1";173
"7201";"Con heridos";"Atropello";"Terminal de Transporte";173
"7551";"Solo daños";"Choque";"Villa Hermosa";172
"3463";"Con heridos";"Choque";"El Rincón";171
"2509";"Con heridos";"Choque";"Boyacá";170
"2698";"Con heridos";"Volcamiento";"Campo Amor";170
"4645";"Con heridos";"Atropello";"La Salle";170
"5193";"Solo daños";"Choque";"Los Mangos";170
"5623";"Con heridos";"Choque";"Nueva Villa de la Iguaná";170
"7407";"Solo daños";"Choque";"Versalles No. 1";170
"2002";"Con heridos";"Caida de Ocupante";"Aures No. 2";168
"2929";"Con heridos";"Otro";"Corazón de Jesús";168
"7291";"Con heridos";"Atropello";"Trinidad";168
"7519";"Con heridos";"Otro";"Villa Flora";168
"3825";"Solo daños";"Choque";"Gerona";167
"5167";"Con heridos";"Atropello";"Los Conquistadores";167
"7497";"Solo daños";"Choque";"Villa del Socorro";167
"4213";"Con heridos";"Atropello";"La Esperanza";166
"2421";"Solo daños";"Choque";"Bomboná No. 2";165
"3049";"Con heridos";"Choque";"Doce de Octubre No.2";165
"3415";"Con heridos";"Otro";"El Progreso";165
"5581";"Con heridos";"Atropello";"Naranjal";165
"2770";"Con heridos";"Volcamiento";"Caribe";164
"2953";"Con heridos";"Atropello";"Cristo Rey";164
"6325";"Con heridos";"Choque";"San Joaquín";164
"6550";"Con heridos";"Volcamiento";"Santa Fé";164
"7159";"Con heridos";"Otro";"Suramericana";164
"4333";"Con heridos";"Otro";"La Gloria";163
"6687";"Solo daños";"Choque";"Santa Teresita";163
"4054";"Con heridos";"Caida de Ocupante";"Kennedy";162
"5899";"Con heridos";"Otro";"Pedregal";161
"3118";"Con heridos";"Caida de Ocupante";"El Chagualo";160
"3892";"Con heridos";"Caida de Ocupante";"Guayabal";160
"2236";"Con heridos";"Caida de Ocupante";"Belén";159
"4000";"Con heridos";"Caida de Ocupante";"Jesús Nazareno";159
"4219";"Con heridos";"Choque";"La Esperanza";159
"4561";"Con heridos";"Choque";"La Palma";159
"5329";"Con heridos";"Atropello";"Manrique Oriental";159
"6229";"Con heridos";"Atropello";"San Diego";159
"6124";"Con heridos";"Caida de Ocupante";"Prado";158
"3447";"Solo daños";"Choque";"El Raizal";157
"4653";"Solo daños";"Choque";"La Salle";157
"5983";"Con heridos";"Choque";"Picacho";157
"3838";"Con heridos";"Caida de Ocupante";"Girardot";156
"3847";"Con heridos";"Otro";"Girardot";156
"4221";"Solo daños";"Choque";"La Esperanza";156
"4869";"Solo daños";"Choque";"Las Mercedes";156
"2101";"Con heridos";"Otro";"Barrio Caicedo";155
"2704";"Con heridos";"Caida de Ocupante";"Campo Valdés No. 1";155
"5437";"Con heridos";"Atropello";"Miranda";155
"5977";"Con heridos";"Atropello";"Picacho";155
"6649";"Con heridos";"Choque";"Santa Mónica";155
"3553";"Con heridos";"Choque";"El Tesoro";154
"4489";"Con heridos";"Choque";"La Milagrosa";154
"5956";"Con heridos";"Volcamiento";"Perpetuo Socorro";154
"2773";"Con heridos";"Atropello";"Carlos E. Restrepo";153
"3051";"Solo daños";"Choque";"Doce de Octubre No.2";153
"4063";"Con heridos";"Otro";"Kennedy";153
"2007";"Solo daños";"Choque";"Aures No. 2";152
"4792";"Con heridos";"Caida de Ocupante";"Las Granjas";152
"5503";"Con heridos";"Otro";"Moravia";152
"2488";"Con heridos";"Caida de Ocupante";"Boston";151
"3735";"Solo daños";"Choque";"Ferrini";150
"7659";"Solo daños";"Choque";"Villatina";150
"2731";"Con heridos";"Otro";"Campo Valdés No. 2";149
"3667";"Con heridos";"Otro";"Estación Villa";149
"6651";"Solo daños";"Choque";"Santa Mónica";149
"6697";"Con heridos";"Atropello";"Santander";149
